Class,Precision,Recall,F1-Score,Support
A,100.0,100.0,100.0,240
B,100.0,100.0,100.0,237
C,100.0,100.0,100.0,266
D,100.0,100.0,100.0,240
E,100.0,100.0,100.0,240
F,100.0,100.0,100.0,240
G,100.0,100.0,100.0,240
H,99.17355371900827,100.0,99.5850622406639,240
I,100.0,100.0,100.0,276
J,100.0,100.0,100.0,240
K,100.0,100.0,100.0,240
L,100.0,100.0,100.0,240
M,100.0,99.16666666666667,99.581589958159,240
N,100.0,100.0,100.0,240
O,100.0,100.0,100.0,262
P,100.0,100.0,100.0,226
Q,100.0,100.0,100.0,148
R,100.0,100.0,100.0,240
S,100.0,99.57264957264957,99.78586723768737,234
T,100.0,100.0,100.0,240
U,100.0,100.0,100.0,240
V,100.0,100.0,100.0,257
W,100.0,100.0,100.0,240
X,100.0,100.0,100.0,240
Y,100.0,100.0,100.0,240
Z,100.0,100.0,100.0,240
1,100.0,100.0,100.0,240
2,100.0,100.0,100.0,240
3,100.0,100.0,100.0,240
4,100.0,100.0,100.0,240
5,100.0,100.0,100.0,240
6,99.5850622406639,100.0,99.7920997920998,240
7,100.0,100.0,100.0,240
8,100.0,100.0,100.0,240
9,100.0,100.0,100.0,240
